gpr_mean,true_y,gpr_lwr,gpr_upr,day,cf_mean
9.656791405825171e-07,0.0,5.711615126017575e-07,1.3601967685632767e-06,372,9.656791405825171e-07
9.654898448887876e-07,0.0,5.709724766340495e-07,1.3600072131435254e-06,373,9.654898448887876e-07
9.652878621952374e-07,0.0,5.707707817815495e-07,1.3598049426089254e-06,374,9.652878621952374e-07
9.650747055076316e-07,2.115627505696327e-06,5.705579395137649e-07,1.3595914715014983e-06,375,9.650747055076316e-07
9.648518881613397e-07,3.3346449603510717e-06,5.703354614592166e-07,1.3593683148634627e-06,376,9.648518881613397e-07
9.646209216902565e-07,0.0,5.701048572747622e-07,1.359136986105751e-06,377,9.646209216902565e-07
9.64383313697562e-07,1.8366181248496268e-06,5.698676325169623e-07,1.3588989948781618e-06,378,9.64383313697562e-07
9.641405657314463e-07,0.0,5.696252865186746e-07,1.358655844944218e-06,379,9.641405657314463e-07
9.638941711683e-07,5.568455811518908e-06,5.693793102734337e-07,1.3584090320631666e-06,380,9.638941711683e-07
9.636456131062507e-07,2.012935121088112e-06,5.691311843305122e-07,1.3581600418819893e-06,381,9.636456131062507e-07
9.633963622719343e-07,0.0,5.688823767036459e-07,1.3579103478402227e-06,382,9.633963622719343e-07
9.631478749430735e-07,1.8004198579108648e-06,5.686343407960259e-07,1.3576614090901212e-06,383,9.631478749430735e-07
9.629015908897327e-07,0.0,5.683885133444673e-07,1.3574146684349982e-06,384,9.629015908897327e-07
9.626589313370908e-07,1.704750799528125e-06,5.68146312385687e-07,1.3571715502884948e-06,385,9.626589313370908e-07
9.624212969520661e-07,0.0,5.679091352470238e-07,1.3569334586571086e-06,386,9.624212969520661e-07
9.621900658569012e-07,3.118106062377712e-06,5.676783565648199e-07,1.3567017751489826e-06,387,9.621900658569012e-07
9.61966591672101e-07,0.0,5.674553263328408e-07,1.3564778570113611e-06,388,9.61966591672101e-07
9.617522015912787e-07,0.0,5.672413679833998e-07,1.3562630351991577e-06,389,9.617522015912787e-07
9.615481944907035e-07,0.0,5.670377765039678e-07,1.356058612477439e-06,390,9.615481944907035e-07
9.613558390758476e-07,1.7167146202283915e-06,5.668458165916348e-07,1.3558658615600605e-06,391,9.613558390758476e-07
9.611763720674694e-07,0.0,5.66666720848014e-07,1.3556860232869248e-06,392,9.611763720674694e-07
9.610109964296895e-07,0.0,5.665016880170179e-07,1.3555203048423613e-06,393,9.610109964296895e-07
9.608608796423854e-07,0.0,5.663518812679146e-07,1.355369878016856e-06,394,9.608608796423854e-07
9.607271520201342e-07,0.0,5.662184265258905e-07,1.3552358775143779e-06,395,9.607271520201342e-07
9.606109050800622e-07,0.0,5.661024108524917e-07,1.3551193993076327e-06,396,9.606109050800622e-07
9.605131899606538e-07,0.0,5.660048808780145e-07,1.3550214990432932e-06,397,9.605131899606538e-07
9.604350158936882e-07,1.6484866068705626e-06,5.65926841287989e-07,1.3549431904993872e-06,398,9.604350158936882e-07
9.603773487313127e-07,0.0,5.658692533657991e-07,1.354885444096826e-06,399,9.603773487313127e-07
9.603411095301182e-07,0.0,5.658330335932434e-07,1.3548491854669931e-06,400,9.603411095301182e-07
9.60327173194249e-07,0.0,5.65819052311079e-07,1.3548352940774189e-06,401,9.60327173194249e-07
9.603363671791553e-07,0.0,5.658281324411127e-07,1.3548446019171982e-06,402,9.603363671791553e-07
9.603694702578272e-07,0.0,5.658610482716422e-07,1.3548778922440122e-06,403,9.603694702578272e-07
9.60427211351039e-07,0.0,5.659185243077152e-07,1.3549358983943622e-06,404,9.60427211351039e-07
9.60510268423147e-07,0.0,5.660012341877187e-07,1.3550193026585756e-06,405,9.60510268423147e-07
9.606192674449363e-07,0.0,5.66109799667684e-07,1.3551287352221887e-06,406,9.606192674449363e-07
9.607547814247901e-07,1.578379982353712e-06,5.662447896745589e-07,1.3552647731750213e-06,407,9.607547814247901e-07
9.609173295094438e-07,0.0,5.664067194295779e-07,1.3554279395893098e-06,408,9.609173295094438e-07
9.61107376155443e-07,0.0,5.665960496427738e-07,1.3556187026681121e-06,409,9.61107376155443e-07
9.613253303725357e-07,0.0,5.66813185779771e-07,1.3558374749653005e-06,410,9.613253303725357e-07
9.61571545039628e-07,0.0,5.670584774013506e-07,1.3560846126779056e-06,411,9.61571545039628e-07
9.618463162945031e-07,0.0,5.673322175769036e-07,1.3563604150121025e-06,412,9.618463162945031e-07
9.621498829978103e-07,1.7128097616453937e-06,5.676346423721111e-07,1.3566651236235095e-06,413,9.621498829978103e-07
9.624824262720645e-07,1.7237515729233104e-06,5.679659304114848e-07,1.3569989221326443e-06,414,9.624824262720645e-07
9.628440691162407e-07,0.0,5.683262025162219e-07,1.3573619357162593e-06,415,9.628440691162407e-07
9.63234876096326e-07,1.960553660353684e-06,5.687155214175408e-07,1.3577542307751113e-06,416,9.63234876096326e-07
9.636548531122242e-07,0.0,5.691338915458003e-07,1.3581758146786482e-06,417,9.636548531122242e-07
9.641039472411903e-07,0.0,5.695812588953758e-07,1.358626635587005e-06,418,9.641039472411903e-07
9.645820466580365e-07,1.7027942854223782e-06,5.700575109653829e-07,1.3591065823506903e-06,419,9.645820466580365e-07
9.650889806319985e-07,0.0,5.705624767759958e-07,1.359615484488001e-06,420,9.650889806319985e-07
9.65624519600271e-07,0.0,5.710959269601659e-07,1.3601531122403762e-06,421,9.65624519600271e-07
9.661883753180355e-07,0.0,5.716575739304018e-07,1.3607191767056691e-06,422,9.661883753180355e-07
9.66780201084653e-07,1.870340514194014e-06,5.722470721201421e-07,1.3613133300491638e-06,423,9.66780201084653e-07
9.673995920456077e-07,1.8305128181660087e-06,5.728640182990782e-07,1.3619351657921372e-06,424,9.673995920456077e-07
9.680460855699237e-07,1.739859662919589e-06,5.735079519620616e-07,1.3625842191777856e-06,425,9.680460855699237e-07
9.687191617021106e-07,0.0,5.741783557903865e-07,1.3632599676138345e-06,426,9.687191617021106e-07
9.694182436882958e-07,0.0,5.748746561850289e-07,1.363961831191563e-06,427,9.694182436882958e-07
9.70142698575583e-07,3.577670328412248e-06,5.755962238706698e-07,1.3646891732804963e-06,428,9.70142698575583e-07
9.708918378838133e-07,0.0,5.763423745695631e-07,1.3654413011980635e-06,429,9.708918378838133e-07
9.716649183487073e-07,0.0,5.771123697440268e-07,1.3662174669533879e-06,430,9.716649183487073e-07
9.724611427354214e-07,0.0,5.779054174065283e-07,1.3670168680643146e-06,431,9.724611427354214e-07
9.732796607212955e-07,3.977131493910018e-06,5.787206729959411e-07,1.3678386484466499e-06,432,9.732796607212955e-07
9.741195698465273e-07,0.0,5.795572403186446e-07,1.36868189937441e-06,433,9.741195698465273e-07
9.749799165315549e-07,0.0,5.804141725531082e-07,1.3695456605100015e-06,434,9.749799165315549e-07
9.75859697159611e-07,3.883374497103003e-06,5.812904733163491e-07,1.3704289210028727e-06,435,9.75859697159611e-07
9.767578592230945e-07,1.9819916241033964e-06,5.821850977908205e-07,1.3713306206553685e-06,436,9.767578592230945e-07
9.77673302532041e-07,0.0,5.830969539099819e-07,1.3722496511541e-06,437,9.77673302532041e-07
9.786048804831596e-07,0.0,5.8402490360089e-07,1.3731848573654293e-06,438,9.786048804831596e-07
9.795514013876939e-07,3.4379028792436606e-06,5.849677640821731e-07,1.3741350386932145e-06,439,9.795514013876939e-07
9.805116298562945e-07,1.877846110511244e-06,5.859243092154034e-07,1.3750989504971859e-06,440,9.805116298562945e-07
9.814842882390801e-07,1.8479847726054735e-06,5.868932709082083e-07,1.376075305569952e-06,441,9.814842882390801e-07
9.824680581189284e-07,0.0,5.878733405670727e-07,1.3770627756707843e-06,442,9.824680581189284e-07
9.834615818560958e-07,1.8921046258173887e-06,5.888631705980616e-07,1.3780599931141299e-06,443,9.834615818560958e-07
9.844634641819807e-07,0.0,5.89861375953294e-07,1.3790655524106674e-06,444,9.844634641819807e-07
9.854722738401593e-07,2.00546690277697e-06,5.908665357214183e-07,1.3800780119589003e-06,445,9.854722738401593e-07
9.864865452723054e-07,0.0,5.918771947598199e-07,1.381095895784791e-06,446,9.864865452723054e-07
9.87504780346999e-07,1.884090737809933e-06,5.928918653666896e-07,1.3821176953273081e-06,447,9.87504780346999e-07
9.885254501291115e-07,1.935265373264309e-06,5.939090289908204e-07,1.3831418712674025e-06,448,9.885254501291115e-07
