tfe_mean,tfe_lwr,tfe_upr
-0.079,-0.688,0.529
-0.009,-0.619,0.602
0.036,-0.576,0.648
0.126,-0.487,0.74
0.357,-0.258,0.973
-0.345,-0.978,0.288
0.004,-0.624,0.633
-0.202,-0.827,0.424
-0.491,-1.113,0.132
-0.223,-0.844,0.398
-0.439,-1.055,0.177
-0.109,-0.722,0.505
0.487,-0.125,1.099
0.228,-0.383,0.839
0.142,-0.469,0.752
0.443,-0.169,1.054
0.561,-0.054,1.176
0.562,-0.053,1.177
-0.095,-0.705,0.516
-0.012,-0.625,0.601
0.03,-0.584,0.644
0.115,-0.502,0.731
0.343,-0.277,0.963
1.583,0.895,2.272
1.919,1.233,2.605
1.754,1.069,2.438
1.533,0.85,2.216
1.973,1.291,2.655
1.763,1.083,2.444
2.077,1.396,2.758
2.656,1.975,3.337
2.406,1.725,3.088
2.347,1.666,3.028
2.663,1.981,3.345
2.333,1.652,3.014
2.35,1.669,3.031
2.643,1.955,3.33
0.144,-0.497,0.784
0.528,-0.108,1.164
0.387,-0.246,1.019
0.136,-0.492,0.764
0.587,-0.037,1.212
0.395,-0.226,1.015
0.734,0.115,1.353
1.36,0.743,1.977
1.13,0.514,1.747
1.064,0.45,1.679
1.381,0.765,1.997
2.159,1.53,2.787
2.689,2.06,3.319
2.55,1.918,3.182
2.65,2.016,3.283
2.226,1.591,2.861
2.318,1.68,2.957
2.561,1.917,3.205
2.297,1.67,2.924
2.666,2.041,3.291
2.584,1.961,3.206
2.294,1.673,2.915
2.749,2.13,3.369
2.559,1.94,3.179
2.848,2.228,3.468
3.49,2.87,4.111
3.254,2.633,3.876
2.06,1.441,2.679
2.398,1.778,3.018
2.077,1.461,2.692
2.077,1.461,2.693
1.924,1.307,2.541
2.005,1.386,2.623
2.045,1.426,2.664
2.459,1.82,3.099
2.213,1.582,2.845
3.721,3.093,4.349
4.148,3.525,4.771
3.969,3.346,4.592
3.705,3.085,4.325
3.976,3.359,4.592
3.765,3.15,4.379
4.133,3.52,4.745
5.228,4.609,5.847
4.997,4.375,5.618
4.431,3.82,5.043
4.77,4.158,5.382
4.439,3.826,5.052
4.939,4.33,5.549
4.778,4.168,5.388
4.874,4.263,5.484
4.923,4.312,5.534
4.528,3.912,5.143
3.677,3.029,4.325
1.362,0.731,1.992
1.717,1.088,2.346
1.519,0.89,2.147
